division,lag_months,correlation_r,p_value,significant,is_peak
Dhaka,0,0.8832,0.0,True,False
Dhaka,1,0.9014,0.0,True,True
Dhaka,2,0.6323,0.0,True,False
Dhaka,3,0.1885,0.0324,True,False
Dhaka,4,-0.2858,0.0011,True,False
Dhaka,5,-0.6334,0.0,True,False
Dhaka,6,-0.7887,0.0,True,False
Dhaka,7,-0.773,0.0,True,False
Dhaka,8,-0.5979,0.0,True,False
Chattogram,0,0.844,0.0,True,False
Chattogram,1,0.9157,0.0,True,True
Chattogram,2,0.6898,0.0,True,False
Chattogram,3,0.2539,0.0037,True,False
Chattogram,4,-0.2329,0.0082,True,False
Chattogram,5,-0.6006,0.0,True,False
Chattogram,6,-0.7746,0.0,True,False
Chattogram,7,-0.774,0.0,True,False
Chattogram,8,-0.6161,0.0,True,False
Rajshahi,0,0.8942,0.0,True,True
Rajshahi,1,0.8504,0.0,True,False
Rajshahi,2,0.5214,0.0,True,False
Rajshahi,3,0.0541,0.5425,False,False
Rajshahi,4,-0.3688,0.0,True,False
Rajshahi,5,-0.638,0.0,True,False
Rajshahi,6,-0.739,0.0,True,False
Rajshahi,7,-0.6964,0.0,True,False
Rajshahi,8,-0.5205,0.0,True,False
Khulna,0,0.9162,0.0,True,True
Khulna,1,0.8681,0.0,True,False
Khulna,2,0.5499,0.0,True,False
Khulna,3,0.0867,0.3287,False,False
Khulna,4,-0.3709,0.0,True,False
Khulna,5,-0.6845,0.0,True,False
Khulna,6,-0.8044,0.0,True,False
Khulna,7,-0.7537,0.0,True,False
Khulna,8,-0.5426,0.0,True,False
Barishal,0,0.9111,0.0,True,True
Barishal,1,0.8821,0.0,True,False
Barishal,2,0.5787,0.0,True,False
Barishal,3,0.1234,0.1636,False,False
Barishal,4,-0.3425,0.0001,True,False
Barishal,5,-0.6773,0.0,True,False
Barishal,6,-0.8147,0.0,True,False
Barishal,7,-0.7737,0.0,True,False
Barishal,8,-0.5657,0.0,True,False
Sylhet,0,0.7724,0.0,True,False
Sylhet,1,0.9196,0.0,True,True
Sylhet,2,0.7836,0.0,True,False
Sylhet,3,0.4211,0.0,True,False
Sylhet,4,-0.0637,0.475,False,False
Sylhet,5,-0.4863,0.0,True,False
Sylhet,6,-0.7329,0.0,True,False
Sylhet,7,-0.8016,0.0,True,False
Sylhet,8,-0.692,0.0,True,False
Rangpur,0,0.8991,0.0,True,True
Rangpur,1,0.8969,0.0,True,False
Rangpur,2,0.6106,0.0,True,False
Rangpur,3,0.157,0.0756,False,False
Rangpur,4,-0.3,0.0006,True,False
Rangpur,5,-0.6344,0.0,True,False
Rangpur,6,-0.7899,0.0,True,False
Rangpur,7,-0.7727,0.0,True,False
Rangpur,8,-0.5928,0.0,True,False
Mymensingh,0,0.8885,0.0,True,False
Mymensingh,1,0.9087,0.0,True,True
Mymensingh,2,0.6457,0.0,True,False
Mymensingh,3,0.2072,0.0185,True,False
Mymensingh,4,-0.2642,0.0026,True,False
Mymensingh,5,-0.6278,0.0,True,False
Mymensingh,6,-0.8019,0.0,True,False
Mymensingh,7,-0.795,0.0,True,False
Mymensingh,8,-0.6198,0.0,True,False
National,0,0.8772,0.0,True,False
National,1,0.9136,0.0,True,True
National,2,0.661,0.0,True,False
National,3,0.2229,0.0111,True,False
National,4,-0.2542,0.0038,True,False
National,5,-0.6159,0.0,True,False
National,6,-0.7892,0.0,True,False
National,7,-0.7867,0.0,True,False
National,8,-0.6179,0.0,True,False
